Date,Price,Open,High,Low,Vol.,Change %
7/11/2017,34.793,33.967,34.793,33.967,527.57K,2.43%
7/12/2017,35.207,35.083,35.207,34.711,556.31K,1.19%
7/13/2017,35.207,35.207,35.207,34.628,668.65K,0.00%
7/14/2017,35.207,35.207,35.207,34.876,429.73K,0.00%
7/17/2017,35.041,35.124,35.124,34.545,591.98K,-0.47%
7/18/2017,34.959,34.298,34.959,34.298,176.93K,-0.23%
7/19/2017,34.711,35.124,35.124,34.669,363.16K,-0.71%
7/20/2017,35.041,34.711,35.041,34.545,313.73K,0.95%
7/21/2017,35.083,34.793,35.083,34.421,681.69K,0.12%
7/24/2017,34.876,35.083,35.083,34.628,269.55K,-0.59%
7/25/2017,34.711,34.545,34.793,34.545,234.40K,-0.47%
7/26/2017,35.207,34.711,35.207,34.545,614.99K,1.43%
7/27/2017,34.959,34.793,35.207,34.793,308.20K,-0.70%
7/28/2017,35.455,34.959,35.455,34.711,522.36K,1.42%
7/31/2017,36.777,36.033,36.777,35.950,1.51M,3.73%
8/1/2017,36.694,36.777,36.777,36.364,489.58K,-0.23%
8/2/2017,36.694,36.281,36.777,36.281,470.51K,0.00%
8/3/2017,36.694,36.529,37.025,36.364,583.09K,0.00%
8/4/2017,36.818,36.859,37.107,36.694,527.90K,0.34%
8/7/2017,36.777,36.818,36.859,36.612,414.63K,-0.11%
8/8/2017,37.107,36.777,37.107,36.777,793.16K,0.90%
8/9/2017,35.950,36.612,37.190,35.950,764.41K,-3.12%
8/10/2017,35.702,35.950,36.198,35.537,216.18K,-0.69%
8/11/2017,35.950,35.702,36.116,35.455,151.65K,0.69%
8/14/2017,35.950,35.950,35.992,35.702,275.75K,0.00%
8/15/2017,35.207,35.868,35.950,35.124,614.98K,-2.07%
8/16/2017,35.372,35.124,35.413,35.041,314.04K,0.47%
8/17/2017,35.331,35.537,35.537,35.041,404.16K,-0.12%
8/18/2017,35.331,35.331,35.620,35.041,633.25K,0.00%
8/21/2017,35.455,34.959,35.455,34.959,360.29K,0.35%
8/22/2017,35.372,35.207,35.537,35.207,265.07K,-0.23%
8/23/2017,35.785,35.744,35.785,35.372,171.72K,1.17%
8/24/2017,35.992,35.950,36.322,35.785,473.70K,0.58%
8/25/2017,36.818,35.992,36.983,35.992,756.66K,2.29%
8/28/2017,37.603,36.818,37.603,36.446,986.45K,2.13%
8/29/2017,38.058,37.521,38.182,37.149,1.27M,1.21%
8/30/2017,40.661,38.058,40.661,38.058,1.92M,6.84%
8/31/2017,40.496,40.496,41.818,40.083,1.77M,-0.41%
9/1/2017,40.826,40.248,41.240,40.248,742.83K,0.81%
9/5/2017,41.488,41.240,41.570,40.992,1.31M,1.62%
9/6/2017,41.322,41.488,41.488,40.496,1.18M,-0.40%
9/7/2017,41.281,41.322,41.322,40.826,566.84K,-0.10%
